id,badgegeber_id,status,name,deklarierte_funktion,geschlecht,infocube_id_person,kategorie,infocube_id,person.city,person.kanton,bemerkungen
434,188,,Horisberger Marc,"Verband der Poker-, Geschicklichkeits- und Unterhaltungsspiele-Anbieter VPUG",m,,S,,,,
435,189,,Hürzeler Urs,Persönlicher Mitarbeiter,m,,1,,,,
190,190,,Strozzi Elena Antonella,Initiative des Alpes,w,,S,,,,
192,192,,Bachmann Jürg,Verband Schweizer Privatradios VSP,m,,S,,,,
439,193,,Christoph Kull,Beratendes Organ für Fragen der Klimaänderung des Bundes OcCC,m,,2,,,,
194,194,,Salzmann Bernard,Usam,m,,S,,,,
197,197,,Zimmermann Thomas,Schweizerischer Gewerkschaftsbund,m,,S,,,,
447,201,,Bianchi Doris,Schweizerischer Gewerkschaftsbund,w,,S,,,,
448,202,,Fleury Mathieu,Fédération romande des consommateurs FRC,m,,S,,,,
202,202,,Ruiz Rebecca,Gast,w,,0,,,,
203,203,,Ulrico Kessler,Pro Natura,m,,S,,,,
205,205,,Kaufmann Hans-Peter,Suissetec,m,,S,,,,
451,205,,Müller Roland A.,Schweizerischer Arbeitgeberverband,m,,S,,,,
452,206,,Imbach Konrad,Verband Hafner- und Plattengeschäfte,m,,S,,,,
206,206,,Weissen Roman,KM Konsulta,m,,M,,,,
210,210,,Nadler Anna-Lena,Jugendsession,w,,2,,,,
458,212,,Corpataux José,Schweizerischer Gewerkschaftsbund,m,,S,,,,
459,213,,Castella Christian,Fédération des Entreprises Romandes,m,,S,,,,
461,215,,Liner Marcel,Pro Natura,m,,S,,,,
217,217,,Sauvain Mélanie,Entraide Suisse Handicap Agile,w,,S,,,,Sekretärin AGILE seit 2009: http://www.agile.ch/news-fr&getDoc=580
222,222,,Perron Louis,Perron Campaigns,m,,M,,,,www.perroncampaigns.ch/
224,224,,Schwarz Johannes,Persönlicher Mitarbeiter,m,,1,,,,
226,226,,Graf Manuel,WWF Schweiz,m,,S,,,,
472,226,,Koch Anne,Greenpeace,w,,S,,,,
473,227,,Byland Karin,Persönliche Mitarbeiterin,w,,1,,,,
227,227,,Chiavaroli Danielle,Persönliche Mitarbeiterin,w,,1,,,,
228,228,,Lampart Daniel,"Sekretariatsleiter und Chefökonom, SGB",m,,S,,,,
475,229,,Langenegger Walter,Stadtverwaltung Bern,m,,2,,,,
476,230,,Durrer Urs,Amt für Wirtschaft des Kantons Schwyz,m,,2,,,,
230,230,,Henseler Pfyl Nathalie,Büro für Sprache und Politik,w,,M,,,,
231,231,,Frund Vinciane,Médecins de famille Suisse,w,,S,,,,
232,232,,Eperon Patrick,Centre Patronal,m,,S,,,,
479,233,,Schaffner Ursula,Persönliche Mitarbeiterin,w,,1,,,,
233,233,,Weber Busch Catherine,Schweizerischer Verband des Personals öffentlicher Dienste VPOD,w,,S,,,,
480,234,,Jurendic Marinko,Gast,m,,0,,,,
236,236,,Badertscher Christine,Persönliche Mitarbeiterin,w,,1,,,,
483,237,,Flückiger Stefan,Berner Waldbesitzer BWB,m,,S,,,,
237,237,,Minder Heinrich,Gast,m,,0,,,,
484,238,,Montangero Stephane,Fourchette verte Suisse,m,,S,,,,
238,238,,Zimmermann Michel,Persönlicher Mitarbeiter,m,,1,,,,
485,239,,Schneider Urs,Persönlicher Mitarbeiter,m,,1,,,,
