id,zeile,badgegeber_id,name,deklarierte_funktion,infocube_url,infocube_id,mandat_aktiv,bemerkungen,quelle,rote_flagge
34,34,34,"Beat Christen","Persönlicher Mitarbeiter","Zu ungenau","","","http://newsnetz-blog.ch/hugostamm/blog/2012/05/03/stosstrupp-gottes-in-den-wandelhallen/comment-page-4/#comments 

http://www.vbg.net/die-vbg/wer-wir-sind/mitarbeitende.html","",""
35,35,35,"Martin Kuonen","Centre Patronal",http://infocube.ch/de/p/5809264/kuonen-martin,5809264.0,"","","",""
36,36,36,"Daniel Bulliard",Gast,https://infocube.ch/de/p/98731/bulliard-daniel-noel,98731.0,"","","",""
37,37,37,"Brigitte Pitteloud","Etat du Valais","Zu ungenau","","","","",""
38,38,38,"Martin Fröhlich","Persönlicher Mitarbeiter","Zu ungenau","","","","",""
39,39,39,"Töngi Michael","Schweizerische Mieterinnen- und Mieterverband","","","","","",""
40,40,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,41,41,"Sara Guerra","Stagiaire per il Canton Ticino","","","","","",""
42,42,42,"Arthur Wellinger","Biomasse Suisse",https://infocube.ch/de/p/647183/wellinger-arthur#activeMandates,647183.0,"","","",""
43,43,43,"Sandra-Anna Göbelbecker","Persönliche Mitarbeiterin","Kein Eintrag","","","","",""
44,44,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,45,45,"Felix Wirz","Ecopolitics GmbH",http://infocube.ch/de/p/4045146/wirz-felix-michael,4045146.0,"","","",""
46,46,46,"Bettina Mutter",Dynamicsgroup,http://infocube.ch/de/p/6701264/mutter-bettina,6701264.0,"","cf. Franz Egle / Dynamics Group AG","",""
47,47,47,"Sarkis Shahinian","Parlamentarische Gruppe Schweiz-Armenien",https://infocube.ch/de/p/7038795/shahinian-sarkis#activeMandates,7038795.0,"","","",""
48,48,48,"Dieter Kläy","Schweizerischer Gewerbeverband (sgv)",https://infocube.ch/de/p/4562781/klaey-dieter,4562781.0,"","","",""
49,49,49,"Christina Gaggini",economiesuisse,"","","","","",""
50,50,50,"Ronny Kaufmann","Die Schweizerische Post",http://infocube.ch/de/p/4504015/kaufmann-ronny,4504015.0,"","","",""
51,51,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,52,52,"Rita Eder-Bachmann",Gast,"","","","","",""
53,53,53,"Ruedi Leder",Gast,http://infocube.ch/de/p/628575/leder-rudolf-a,628575.0,"","","",""
54,54,54,"Albert Leiser","Hauseigentümerverband (HEV) Zürich",https://infocube.ch/de/p/297418/leiser-albert,297418.0,"","","",""
55,55,55,"Marie-Louise Baumann","MLB Communications",https://infocube.ch/de/p/4689222/baumann-marie-louise,4689222.0,"","","",""
56,56,56,"Fadri Ramming","Regierungskonferenz der Gebirgskantone (RKGK)",https://infocube.ch/de/p/1049448/ramming-fadri#activeMandates,1049448.0,"","","",""
57,57,57,"Werni Birrer",Gast,"","","","","",""
58,58,58,"Helen Fässler-Eiermann",Gast,https://infocube.ch/de/p/5818623/faessler-eiermann-helene,5818623.0,"","","",""
59,59,59,"Chantal Aeby Pürro","Fédération suisse des vignerons (FSV)","","","","","",""
60,60,60,"Hans Kuno Schweiger",Gast,"","","","","",""
61,61,61,"Peter Graf","Persönlicher Mitarbeiter","Zu ungenau","","","","",""
62,62,62,"Miriam Wetter","Persönliche Mitarbeiterin","Zu ungenau","","","","",""
63,63,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,64,64,"Roland Seiler","Schweizerischer Fischerei-Verband (SFV)","","","","","",""
65,65,65,"Sybille Oetliker","Schweizerischer Städteverband (SSV)","","","","Wissenschaftliche Mitarbeiterin Schweizerischer Städteverband (http://staedteverband.ch/de/Info/Stadteverband/Geschaftsstelle)","",""
66,66,66,"Ernesto Engel","Kunststoff Verband Schweiz",http://infocube.ch/de/p/5472975/engel-ernesto,5472975.0,"","","",""
67,67,67,"Ingrid Hess",Umweltallianz,"","","","","",""
68,68,68,"Hans-Georg Bächtold","Schweizerischer Ingenieur- und Architekten-Verein","","","","","",""
69,69,69,"Hansruedi Streiff","Holzindustrie Schweiz",http://infocube.ch/de/p/765735/streiff-hansruedi,765735.0,"","","",""
70,70,70,"Cahannes Dagobert","Kanton Solothurn","","","","","",""
71,71,71,"Priska Föhn",Gast,http://infocube.ch/de/p/4444336/foehn-heinzer-priska,4444336.0,"","","",""
72,72,72,"Christian Melly","Canton du Valais",http://infocube.ch/de/p/329859/melly-christian,329859.0,"","","",""
73,73,73,"Paul-André Simon","Persönlicher Mitarbeiter","","","","","",""
74,74,74,"Joël A. Thüring","Persönlicher Mitarbeiter",http://infocube.ch/de/p/5089791/thuering-joel-a,5089791.0,"","","",""
75,75,75,"Kuno Hämisegger","Schweizerische Bankiervereinigung (SBVg)",http://infocube.ch/de/p/1008819/haemisegger-kuno,1008819.0,"","","",""
76,76,76,"Antoine Carraux","Union Démocratique du Centre du Valais romand","","","","","",""
77,77,77,"Reto Wiesli","Médecins de famille suisse",http://infocube.ch/de/p/5454878/wiesli-reto,5454878.0,"","","",""
78,78,78,"Jürg Wittwer","Hausverein Schweiz","","","","","",""
79,79,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,80,80,"Kurt Rohrbach","Verband Schweizerischer Elektrizitätsunternehmen",http://infocube.ch/de/p/404341/rohrbach-kurt,404341.0,"","","",""
81,81,81,"Christoph Dietler","pulswert GmbH","","","","","",""
82,82,82,"Rudolf Horber","Schweizerischer Gewerbeverband (sgv)",http://infocube.ch/de/p/5398217/horber-rudolf,5398217.0,"","","",""
83,83,83,"Chantal Balet","Cabinet conseils FBL associés",http://infocube.ch/de/p/46828/balet-emery-chantal,46828.0,"","","",""
84,84,84,"Renate Hotz","Hotz Communications AG",http://infocube.ch/de/p/1046083/hotz-schlaepfer-renate,1046083.0,"","","",""
85,85,85,"Hans-Ulrich Hunziker","SAVASS (Swiss Association Value Added Services)","","","","","",""
86,86,86,"Barbara Küttel","Kleinbauern-Vereinigung (VKMB)","","","","","",""
87,87,87,"Patrick Hofstetter","WWF Schweiz",http://infocube.ch/de/p/6328680/hofstetter-patrick,6328680.0,"","","",""
88,88,88,"Jonas Glanzmann","Persönlicher Mitarbeiter","","","","","",""
89,89,89,"Nicole Werner","Alliance Sud","","","","","",""
90,90,90,"Marcel Kreber","Schweizer Brauerei-Verband",http://infocube.ch/de/p/5767738/kreber-marcel,5767738.0,"","","",""
91,91,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,92,92,"Wyss Gräber Andrea",Gast,http://infocube.ch/de/p/5446271/wyss-graber-andrea,5446271.0,"","","",""
93,93,93,"Markus Allemann","Greenpeace Schweiz","","","","","",""
94,94,94,"Walter Stüdeli","Geschäftsführung Verbände",http://infocube.ch/de/p/4909799/stuedeli-walter,4909799.0,"","","",""
95,95,95,"Kurt Howald",Gast,http://infocube.ch/de/search?q=kurt+howald&defaultSearchEntryStatus=&senden=Suchen,"","","","",""
96,96,96,"Jürgen Schulz","Persönlicher Mitarbeiter",http://infocube.ch/de/search?q=j%C3%BCrgen+schulz&defaultSearchEntryStatus=1&senden=Suchen,"","","","",""
97,97,97,"In-Albon Hans-Peter","Verband Schweizerischer Elektro-Installationsfirmen (VSEI)",https://infocube.ch/de/p/5131473/in-albon-hans-peter/mandates,5131473.0,"","","",""
98,98,98,"Klaus Künzli",GastroSuisse,https://infocube.ch/de/p/6804000/kuenzli-klaus/mandates,6804000.0,"","","",""
99,99,99,"Marie-Jo Girardin","Persönliche Mitarbeiterin","Zu ungenau","","","","",""
100,100,100,"Stefan Kilchenmann","Swisscom AG",https://infocube.ch/de/p/270640/kilchenmann-cueva-stefan/mandates#activeMandates,270640.0,"",https://www.xing.com/profiles/Stefan_Kilchenmann,"",""
101,101,101,"Kurt Wilhelm","Sanitas Krankenversicherung",http://infocube.ch/de/p/527127/wilhelm-kurt,527127.0,"","","",""
102,102,102,"Stefan Jakob",NPO-Forum,"","","","","",""
103,103,103,"Dieter Meile","Persönlicher Mitarbeiter","","","","","",""
104,104,104,"Daniela Lehmann","Gewerkschaft des Verkehrspersonals (SEV)","","","","","",""
105,105,105,"Christine Davatz-Höchner","Schweizerischer Gewerbeverband (sgv)",http://infocube.ch/de/p/669335/davatz-hoechner-christine,669335.0,"","","",""
106,106,106,"Gallus Cadonau","Schweiz. Greina-Stiftung / Solaragentur Schweiz",http://infocube.ch/de/p/103036/cadonau-gallus,103036.0,"","","",""
107,107,107,"Martin Rufer","Schweizerischer Bauernverband",http://infocube.ch/de/p/5774114/rufer-martin,5774114.0,"","","",""
108,108,108,"Martin Pidoux","Schweizerischer Bauernverband",http://infocube.ch/de/p/6815095/pidoux-martin,6815095.0,"","","",""
109,109,109,"Raphaël Ciocchi","Persönlicher Mitarbeiter",http://infocube.ch/de/p/6607224/ciocchi-raphael,6607224.0,"","","",""
110,110,110,"Alfred Segert",Gast,"","","","","",""
111,111,111,"Bettina Ramseyer Rey","Dachverband CURAVIVA",https://infocube.ch/de/p/5686206/ramseier-rey-bettina,5686206.0,"","","",""
112,112,112,"Bruno Henggi","Interpharma Basel",https://infocube.ch/de/p/5754911/henggi-bruno,5754911.0,"","","",""
113,113,113,"Pascal Gentinetta",economiesuisse,"","","","","",""
114,114,114,"Urs Wellauer","Schweizerischer Bäcker-Confiseurmeister-Verband",https://infocube.ch/de/p/520100/wellauer-urs,520100.0,"","","",""
115,115,115,"Florence Schurch","Chancellerie de la République et Canton de Gèneve","","","","","",""
116,116,116,"Beat Meiner","Schweizerische Flüchtlingshilfe",http://infocube.ch/de/p/5770043/meiner-beat,5770043.0,"","","",""
117,117,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,118,118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,119,119,"Cornelia Stamm Hurter",Gast,https://infocube.ch/de/p/p26002615664/stamm-hurter-cornelia,p26002615664,"","","",""
120,120,120,"Rolf Hartl","Erdöl-Vereinigung",http://infocube.ch/de/p/218441/hartl-rolf,218441.0,"","","",""
121,121,121,"Harald Burgener",Gast,"","","","","",""
122,122,122,"Werner Müller","SVS/BirdLife Schweiz","","","","","",""
123,123,123,"Dominik Bachmann","Aidshilfe Schweiz","","","","","",""
124,124,124,"Mirjam Ballmer","Pro Natura",http://infocube.ch/de/p/5654519/ballmer-mirjam,5654519.0,"","Projektleiterin für Naturschutzpolitik bei Pro Natura","",""
125,125,125,"Lucia Döbeli","Swiss Life AG","","","","","",""
126,126,126,"Aliki Panayides","Persönliche Mitarbeiterin",https://infocube.ch/de/p/p22005361383/panayides-aliki-maria,p22005361383,"","","",""
127,127,127,"Annina Schneider","Alliance Sud","","","","","",""
128,128,128,"Herbert Winter","Schweizerischer Israelitischer Gemeindebund",https://infocube.ch/de/p/25037/winter-herbert,25037.0,"","","",""
129,129,129,"Hans-Rudolf Müller","AXA Versicherungen AG",https://infocube.ch/de/p/18642/mueller-hans-rudolf,18642.0,"","","",""
130,130,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,131,131,"Morten Keller",Gast,"","","","","",""
132,132,132,"Kalim Ghulam","POWERcondens AG",https://infocube.ch/de/p/6942944/ghulam-kalim#activeMandates,6942944.0,"","","",""
133,133,133,"Christof Berger","Persönlicher Mitarbeiter","","","","","",""
134,134,134,"Charles Buser",bauenschweiz,"","","","","",""
135,135,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,136,136,"Susanne Brunner",economiesuisse,https://infocube.ch/de/p/4088504/brunner-susanne,4088504.0,"","","",""
137,137,137,"Paul Aenishänslin","PAE-PAC Public Affairs & Communications",https://infocube.ch/de/p/1014565/aenishaenslin-paul,1014565.0,"","","",""
138,138,138,"Marcel Sennhauser",scienceindustries,http://infocube.ch/de/p/1067385/sennhauser-marcel-heinz-peter,1067385.0,"","","",""
139,139,139,"Bruno Weber-Gobet",Travail.Suisse,http://infocube.ch/de/p/4302631/weber-gobet-bruno#activeMandates,4302631.0,"","","",""
140,140,140,"Dominique Reber",Hirzel.Neef.Schmid.Konsulenten,http://infocube.ch/de/p/5285695/reber-dominique-matthias,5285695.0,"","","",""
141,141,141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,142,142,"Luca Cirigliano","Schweizerischer Gewerkschaftsverbund",https://infocube.ch/de/p/p25015040091/cirigliano-luca,p25015040091,"","","",""
143,143,143,"Hansjörg Fasnacht","Persönlicher Mitarbeiter",http://infocube.ch/de/p/155871/fasnacht-siffert-hansjoerg,155871.0,"","","",""
144,144,144,"Maria Luisa Bernini Burkhard","swiss communication agency",http://infocube.ch/de/p/6311215/bernini-burkhard-maria-luisa,6311215.0,"","","",""
145,145,145,"Raymond Loretan",Gast,https://infocube.ch/de/p/5617064/loretan-raymond-charles-jacques-marie/mandates,5617064.0,"","Beweis: http://www.srgd.ch/index.php?id=1319","",""
146,146,146,"Thomas Moser","Kanton Bern","","","","","",""
147,147,147,"Judith Fischer",SUVA,http://infocube.ch/de/p/6549004/fischer-judith,6549004.0,"","","",""
148,148,148,"Yves Weidmann","Schweizerische Bankiervereinigung (SBVg)",http://infocube.ch/de/p/5500705/weidmann-yves,5500705.0,"","","",""
149,149,149,"Monika Maire-Hefti",Gast,http://infocube.ch/de/p/906925/maire-hefti-monika,906925.0,"","","",""
150,150,150,"Thierry Burkart","Touring Club Suisse (TCS)",http://infocube.ch/de/p/4308851/burkart-thierry-paul,4308851.0,"","","",""
151,151,151,"Andreas Tschöpe","Conseil Suisse des Activités de Jeunesse","","","","","",""
152,152,152,"Hannes Rettenmund","Persönlicher Mitarbeiter","","","","","",""
153,153,153,"Doris Güttinger","Fédération suisse des sages-femmes (SHV/FSSF","","","","","",""
154,154,154,"Babette Sigg Frank","CVP-Frauen Schweiz",https://infocube.ch/de/p/p29001217247/sigg-frank-babette,p29001217247,"","","",""
155,155,155,"Claudio Kuster","Persönlicher Mitarbeiter","","","","","",""
156,156,156,"Maxim Wuersch","Persönlicher Mitarbeiter","","","","","",""
157,157,157,"Thomas Pletscher",economiesuisse,https://infocube.ch/de/p/975318/pletscher-thomas,975318.0,"","","",""
158,158,158,"Markus Flury","Schweizer Musikrat (SMR)","","","","","",""
159,159,159,"Martin Bosshard","Bio Suisse","","","","","",""
160,160,160,"Helene Müller-Bühler",Gast,https://infocube.ch/de/p/p25000897613/mueller-buehler-helene,p25000897613,"","","",""
161,161,161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,162,162,"Rudolf Zumbühl","Touring Club Suisse (TCS)",http://infocube.ch/de/p/5612965/zumbuehl-rudolf,5612965.0,"","","",""
163,163,163,"Ottilia Müller","Persönliche Mitarbeiterin","","","","","",""
164,164,164,"Jürg Maurer",Migros-Genossenschaft-Bund,"","","","","",""
165,165,165,"Franz Grüter",Gast,"","","","","",""
166,166,166,"Patrick Hadi Huber","Persönlicher Mitarbeiter",https://infocube.ch/de/p/5725885/huber-patrick-hadi,5725885.0,"","","",""
167,167,167,"Egger Michel","Alliance Sud","","","","","",""
168,168,168,"Bollag Josef","Institute for Security Analysis and Strategic Netwroking (ISSN Foundation)",https://infocube.ch/de/p/363/bollag-josef/mandates,363.0,"","","",""
169,169,169,"Roger Hedi",Sport-Toto-Gesellschaft,"","","","","",""
170,170,170,"Cherix François",Gast,"","","","","",""
171,171,171,"Furrer Lorenz","Furrer.Hugi & Partner AG",https://infocube.ch/de/p/5105362/furrer-lorenz/mandates,5105362.0,"","","",""
172,172,172,"Nussbaumer Michael","Persönlicher Mitarbeiter",http://infocube.ch/de/p/6562803/nussbaumer-michael,6562803.0,"",Familienmitglied,"",""
173,173,173,"Tettamanti Elvio",Gast,https://infocube.ch/de/p/p26001067974/tettamanti-pantani-elvio,p26001067974,"",Familienmitglied,"",""
174,174,174,"Wartenweiler Johannes","Persönlicher Mitarbeiter","","","",http://www.sp-bern-nord.ch/aktuell/abstimmungen-wahlen/32-wahlen-2012/133-johannes-wartenweiler,"",""
175,175,175,"Cueni Thomas",Interpharma,http://infocube.ch/de/p/121692/cueni-thomas-b/mandates,121692.0,"","","",""
176,176,176,"Zürcher Montali Ines","Persönliche Mitarbeiterin",http://infocube.ch/de/p/625628/zuercher-montali-ines,625628.0,"","","",""
177,177,177,"Hofmann Max","Fédération Suisse des Fonctionnaires de Police (FSFP)",http://infocube.ch/de/p/1020194/hofmann-max-andre,1020194.0,"","","",""
178,178,178,"Mühlethaler Jan","Schweizer Aussenwirtschaftsförderung (Osec)",https://infocube.ch/de/p/p28002992189/muehlethaler-jan,p28002992189,"","","",""
179,179,179,"Studerus Konrad","Studerus und Partner AG, Zug",http://infocube.ch/de/p/477648/studerus-konrad-thomas,477648.0,"","","",""
180,180,180,"Sutter Sigrid","SWISS LABEL","","","","","",""
181,181,181,"Björk Michaela","Persönliche Mitarbeiterin",https://infocube.ch/de/p/p25004801411/bjork-michaela,p25004801411,"","","",""
182,182,182,"Baertschi François","Persönlicher Mitarbeiter",http://infocube.ch/de/p/45382/baertschi-francois,45382.0,"","","",""
183,183,183,"Maurer Thomas C.","Maurer Partner Communications AG",http://infocube.ch/de/p/975543/maurer-thomas,975543.0,"","","",""
184,184,184,"Meyer Urs F.","Schweizer Medien",http://infocube.ch/de/p/335092/meyer-urs-f,335092.0,"","","",""
185,185,185,"Werder Christina","Schweizerischer Gewerkschaftsbund",http://infocube.ch/de/p/6446441/werder-christina,6446441.0,"","","",""
186,186,186,"Karch Herbert","Agrarallianz / Kleinbauern-Vereinigung (VKMB)",http://infocube.ch/de/p/848993/karch-herbert,848993.0,"","","",""
187,187,187,"Geninazzi Angelo","economiesuisse Svizzera italiana","","","","","",""
188,188,188,"Simonet Denis",Piratenpartei,https://infocube.ch/de/p/p21008036913/simonet-denis,p21008036913,"","","",""
189,189,189,"Reimann Hans Peter",Gast,http://infocube.ch/de/p/6970879/reimann-hans-peter,6970879.0,"","","",""
190,190,190,"Strozzi Elena Antonella","Initiative des Alpes","","","","","",""
191,191,191,"Suter Bertil",Gast,https://infocube.ch/de/p/p22010017274/suter-bertil,p22010017274,"","","",""
192,192,192,"Bachmann Jürg","Verband Schweizer Privatradios (VSP)","","","","","",""
193,193,193,"Schwitter Stephan","Wohnbaugenossenschaft Schweiz",http://infocube.ch/de/p/816649/schwitter-stephan,816649.0,"","","",""
194,194,194,"Salzmann Bernard",USAM,"","","","","",""
195,195,195,"Widmer Andreas","St. Galler Bauernverband",https://infocube.ch/de/p/524178/widmer-andreas,524178.0,"","","",""
196,196,196,"Kuert Killer Matthias",Travail.Suisse,https://infocube.ch/de/p/5912967/kuert-killer-matthias,5912967.0,"","","",""
197,197,197,"Zimmermann Thomas","Schweizerischer Gewerkschaftsbund","","","","","",""
198,198,198,"Besio Beatrix","Persönliche Mitarbeiterin",https://infocube.ch/de/p/4034403/besio-jost-beatrix,4034403.0,"","","",""
199,199,199,"Paltenghi Luca","Persönlicher Mitarbeiter",https://infocube.ch/de/p/p27007321472/paltenghi-luca,p27007321472,"","","",""
200,200,200,"Lauber Tamara","Persönliche Mitarbeiterin",https://infocube.ch/de/p/6951145/lauber-tamara,6951145.0,"","","",""
201,201,201,"Rodewald Raimund","Stiftung Landschaftsschutz Schweiz",https://infocube.ch/de/p/728838/rodewald-raimund,728838.0,"","","",""
202,202,202,"Ruiz Rebecca",Gast,"Zu ungenau","","","","",""
203,203,203,"Ulrico Kessler","Pro Natura","","","","","",""
204,204,204,"Tschirky Erich","Schweizerische Gesundheitsliga-Konferenz (GELIKO)",http://infocube.ch/de/p/5397624/tschirky-erich,5397624.0,"","","",""
205,205,205,"Kaufmann Hans-Peter",suissetec,"","","","","",""
206,206,206,"Weissen Roman","KM Konsulta","","","","","",""
207,207,207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,208,208,"Dürr Lucius","Schweizerischer Versicherungsverband",https://infocube.ch/de/p/139779/duerr-lucius#activeMandates,139779.0,"","","",""
209,209,209,"Buser Christoph","Wirtschaftskammer Baselland",https://infocube.ch/de/p/4886204/buser-christoph,4886204.0,"","","",""
210,210,210,"Nadler Anna-Lena",Jugendsession,"","","","","",""
211,211,211,"Mohn Sabrina","Christlichdemokratische Volkspartei (CVP) Baselland",https://infocube.ch/de/p/6595930/mohn-sabrina,6595930.0,"","","",""
212,212,212,"Polito Véronique","Schweizerischer Gewerkschaftsbund",https://infocube.ch/de/p/5799727/polito-veronique,5799727.0,"","","",""
213,213,213,"Spicher Georges","Verband der Schweizerischen Cementindustrie (censuisse)",https://infocube.ch/de/p/460117/spicher-georges,460117.0,"","","",""
214,214,214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,215,215,"Ulber Marcus","Pro Natura",https://infocube.ch/de/p/p21001303348/ulber-marcus,p21001303348,"","","",""
216,216,216,"Verrey Etiennette J.","Commission fédérale pour les questions féminines",https://infocube.ch/de/p/5313040/verrey-etiennette#activeMandates,5313040.0,"","","",""
217,217,217,"Sauvain Mélanie ","Entraide Suisse Handicap AGILE","","","","Sekretärin AGILE seit 2009: http://www.agile.ch/news-fr&getDoc=580","",""
218,218,218,"Alf Arnold","Verein Alpen-Initiative",http://infocube.ch/de/p/5751781/arnold-rosenkranz-alf,5751781.0,"","Geschäftsführer Alpeninitiative, 
Grüne Uri, VCS Uri, etc.
http://www.gruene-uri.ch/landrat-2012-2016/alf-arnold/","",""
219,219,219,"Miescher Alex",SPORT/SFV,http://infocube.ch/de/p/6897508/miescher-alex,6897508.0,"","Schweizerischer Fussballverband (Generalsekretär), Kampfpilot, FDP-Politiker in Solothurn, www.alxmiescher.ch","",""
