id,badge_id,name,role,status,noga,nogaCode
"114874","184","Stiftung der Schweizer Werbung für die Lauterkeit in der kommerziellen Kommunikation","member","active","Other interest groups","S"
"240380","184","ProLitteris, Schweizerische Urheberrechtsgesellschaft für Literatur und bildende Kunst, Genossenschaft","member","active","Attorney, notary practice","M"
"292160","184","Stiftung des Schweizerischen Zeitungsverleger-Verbandes zur Sicherung des schweizerischen Pressewesens","member","active","Cultural, education, scientific and research organisations","S"
"662675","184","Medialex","member","active","Cultural, education, scientific and research organisations","S"
"224039","185","Pensionskassengenossenschaft des Schweizerischen Gewerkschaftsbundes","member","active","Pension funding","K"
"116807","186","Stiftung für Konsumentenschutz","member","active","Other interest groups","S"
"765645","186","INTERCOOPERATION, Swiss Foundation for Development and International Cooperation","member","active","Cultural, education, scientific and research organisations","S"
"6480102","186","Karch Kampagnen GmbH","associate","active","Secretarial activities","N"
"683183","186","Kleinbauern-Warenversand GmbH in Liquidation","liquidator","inbreakup","Retail sale via mail order houses or via Internet","G"
"6970750","189","Hanspeter Reimann Schreinerarbeiten","holder","active","Joinery installation","F"
"6943418","193","Energieplattform Immobilien (EPImmo)","member","active","Web portals","J"
"5847367","193","Stiftung Solinvest","authorized signatory","active","Other interest groups","S"
"117560","196","Sicherheitsfonds BVG","member","active","Pension funding","K"
"310350","198","Schweizer Milchproduzenten SMP Genossenschaft","authorized officer","active","Activities of professional membership organisations","S"
"318212","444","Vorsorgestiftung SMP","president","active","Pension funding","K"
"326487","444","Zusatzstiftung SMP","president","active","Pension funding","K"
"4971","444","Emmentalische Mobiliar Versicherungs-Genossenschaft (emmental versicherung)","vice-president","active","Accident and indemnity insurance","K"
"232666","444","Pensionskasse der emmental versicherung","member","active","Pension funding","K"
"145354","200","Genossenschaft Hauseigentümerverband Zürich","member","active","Other interest groups","S"
"293395","201","Stiftung Umwelt-Einsatz Schweiz (SUS)","member","active","Other interest groups","S"
"588305","201","Rottebrigge-Alte Mühle","member","active","Cultural, education, scientific and research organisations","S"
"5870237","201","Fundaziun Pro Terra Engiadina","member","active","Landscape service activities","N"
"268028","201","Stiftung Landschaftsschutz Schweiz","managing director","active","Other interest groups","S"
"122699","449","Schweizerische Verkehrs-Stiftung (SVS)","member","active","Other interest groups","S"
"40937","449","VCS Verkehrs-Club der Schweiz","managing director","active","Other interest groups","S"
"821909","454","Furrer.Hugi & Partner AG für Public Affairs und Kommunikationsmanagement","authorized officer","active","Public relations and communication activities","M"
"117316","212","Fondazione ECAP","member","active","Further vocational training, adult education","P"
"4093801","349","Consulenza Armin Menzi","holder","active","Advertising agencies","M"
"5760940","204","wellatwork.ch GmbH","managing director","active","Web portals","J"
"292972","204","Stiftung Märtplatz","member","active","Further vocational training, adult education","P"
"4645644","204","Verein ARC -  Bildungsinstitut für Arbeitnehmende","member","active","Activities of trade unions","S"
"4996816","204","PHS Public Health Services GmbH","associate","active","Other paramedical activities","Q"
"6371095","204","syneric GmbH","associate","active","Other professional, scientific and technical activities n.e.c.","M"
"4878047","204","Stiftung Synapsis - Alzheimer Forschung Schweiz AFS","managing director","active","Research and experimental development on biotechnology","M"
"579369","213","Jetra AG","single member of the board of directors","active","Wholesale of other machinery and equipment","G"
"5208161","213","Stiftung Klimarappen","member","active","Other interest groups","S"
"5263841","213","cemsuisse Verband der Schweizerischen Cementindustrie","managing director","active","Activities of business and employers membership organisations","S"
"5445863","213","Betonsuisse Marketing AG","secretary outside of the board of directors","active","Public relations and communication activities","M"
"292475","216","Stiftung für Erforschung der Frauenarbeit","vice-president","active","Other interest groups","S"
"291780","462","Stiftung Alters- und Pflegeheim Birsfelden","member","active","Residential nursing care activities","Q"
"4412332","463","Stiftung ZEWO","member","active","Activities of trade unions","S"
"6897353","219","Schweizerischer Fussballverband","general secretary outside of the board of managers","active","Other sports activities","R"
"318753","466","Dr. Heinrich Wachter-Stiftung zur Förderung der wissenschaftlichen Forschung an der Hochschule St. Gallen für Wirtschafts- und Sozialwissenschaften","member","active","Cultural, education, scientific and research organisations","S"
"7059421","466","Young Leaders Alumni Foundation","member","active","Other interest groups","S"
"3913","466","Credit Suisse Group AG","authorized signatory","active","Investment intermediation","K"
"15012","466","Credit Suisse AG","authorized signatory","active","Big banks","K"
"268028","477","Stiftung Landschaftsschutz Schweiz","member","active","Other interest groups","S"
"268034","477","sanu durabilitas - Schweizerische Stiftung für Nachhaltige Entwicklung","member","active","Cultural, education, scientific and research organisations","S"
"6473402","478","Solsana AG","member","active","Hotels, inns and guesthouses with restaurants","I"
"5597055","234","Vitali Treuhand GmbH","associate","active","Accounting, bookkeeping and auditing activities; tax consultancy","M"
"4594926","486","premium incentives and events AG","member","active","Organisation of conventions and trade shows","N"
"4804896","486","Swiss Economic Forum (SEF) AG","member","active","Cultural, education, scientific and research organisations","S"
"5837891","486","Stähli & Linder AG","member","active","Business and other management consultancy activities","M"
"6808909","486","IFH Interforum Holding AG","member","active","Investment intermediation","K"
"570304","1","Pedrazzini Holding AG","president of the board of directors","active","Activities of other holding companies","K"
"6908867","1","Pedrazzini Campo SA","president of the board of directors","active","Research and experimental development on social sciences and humanities","M"
"8761","1","Isler & Pedrazzini AG","delegate","active","Patent lawyers, patent licensing companies","M"
"539751","2","Affolter Mühle und Transport AG","member","active","Manufacture of grain mill products","C"
"649247","2","BBV Treuhand AG","member","active","Accounting, bookkeeping and auditing activities; tax consultancy","M"
"5522132","2","aaremilch AG","managing director","active","Business and other management consultancy activities","M"
"260570","8","UBS AG","authorized signatory","active","Big banks","K"
"766457","8","UBS AG","authorized signatory","active","Big banks","K"
"612375","9","GFW Development AGlll","member","active","Other business support service activities n.e.c.","N"
"4551851","9","Dr. Schenker Kommunikationszentrum für Wirtschaft und Politik AG","managing director","active","Public relations and communication activities","M"
"353677","10","Auto-i-DAT AG","president of the board of directors","active","Computer programming activities","J"
"313275","10","auto-schweiz VEREINIGUNG SCHWEIZER AUTOMOBIL-IMPORTEURE","president","active","Activities of business and employers membership organisations","S"
"597312","10","Stiftung Auto Recycling Schweiz","member","active","Other interest groups","S"
"109479","256","Genossenschaft Feriendorf Fiesch","member","active","Other reservation services and related activities","N"
"5134692","256","Swiss Olympic Association","director","active","Activities of sport clubs","R"
"268418","256","Schweizer Sporthilfe","authorized signatory","active","Other sports activities","R"
"117050","11","Schweizerische Sozialpartner-Stiftung für die Auffangeinrichtung gemäss Artikel 60 BVG (Stiftung Auffangeinrichtung BVG)","member","active","Pension funding","K"
"4645644","11","Verein ARC -  Bildungsinstitut für Arbeitnehmende","member","active","Activities of trade unions","S"
"268215","259","wohnbaugenossenschaften schweiz - verband der gemeinnützigen wohnbauträger","member","active","Letting of own or leased buildings and dwellings","L"
"384792","259","Klipper GmbH","associate","active","Management of real estate on a fee or contract basis","L"
"7031474","14","Institution de maintien, d'aide et de soins à domicile","member","active","Nursing, district nursing","Q"
"97024","261","East West Book Shop, Rentsch & Co","authorized officer","active","Publishing of directories and mailing lists","J"
"661233","16","Zenhäusern & Partner AG Unternehmensberatung für Öffentlichkeitsarbeit","single member of the board of directors","active","Public relations and communication activities","M"
"5065812","16","Zenhäusern Akademie AG","single member of the board of directors","active","Further vocational training, adult education","P"
"549040","16","Nimbus AG","member","active","Computer consultancy activities","J"
"816596","16","maxon motor ag","member","active","Manufacture of electric motors, generators and transformers","C"
"4896041","16","Synegration AG","member","active","Computer consultancy activities","J"
"602539","262","Grünes Kreuz Schweiz","managing director","active","Other interest groups","S"
"5572862","19","Institut für Wirtschaftsstudien Basel AG","president of the board of directors","active","Other business support service activities n.e.c.","N"
"123667","267","Fürsorgestiftung Waldwirtschaft Schweiz in Liquidation","member","inbreakup","Pension funding","K"
"116807","22","Stiftung für Konsumentenschutz","managing director","active","Other interest groups","S"
"5729064","25","ROBINVEST AG","member","active","Investment intermediation","K"
"5647039","26","SWISSOLAR - Schweizerischer Fachverband für Sonnenenergie","managing director","active","Research and experimental development on biotechnology","M"
"131966","27","Genossenschaft Solidaritätsfonds der Auslandschweizer","vice-president","active","Other interest groups","S"
"5598721","27","Institut für Sicherheitsanalysen und strategisches Networking - Stiftung (ISSN)","member","active","Cultural, education, scientific and research organisations","S"
"4377303","27","bosec consulting gmbh","authorized signatory","active","Business and other management consultancy activities","M"
"714432","29","Agrisano","member","active",,"K"
"5599259","29","AGRIDEA Schweizerische Vereinigung für die Entwicklung der Landwirtschaft und des ländlichen Raums","member","active","Further vocational training, adult education","P"
"403502","29","Schweizerischer Bauernverband (SBV)","authorized signatory","active","Activities of business and employers membership organisations","S"
"5654541","30","Stiftung für Innovation, Entwicklung und Forschung Graubünden","member","active","Research and experimental development on social sciences and humanities","M"
"4925481","30","economiesuisse","member of the executive board","active","Activities of business and employers membership organisations","S"
"5636828","35","Centre Patronal","executive member","active","Activities of business and employers membership organisations","S"
"7063823","35","Centre Patronal","executive member","active","Activities of business and employers membership organisations","S"
"811571","42","VKS - Verband Kompost- und Vergärwerke Schweiz","vice-president","active","Other interest groups","S"
"607598","42","Verein Energie-Information (E-Info)","member","active","Other technical consultancy and planning","M"
"4734444","42","Nova Energie GmbH","authorized signatory","active","Other technical consultancy and planning","M"
"4146848","288","LYSOFT SA","president of the board of directors","active","Computer programming activities","J"
"682800","288","Lys DCT Seydoux, Beerli","general partner","active","Computer consultancy activities","J"
"256067","45","Rudolf Steiner Schulverein St. Gallen","member","active","Compulsory schooling n.e.c.","P"
"297768","45","SWISSAID, Schweizerische Stiftung für Entwicklungszusammenarbeit","member","active","Charitable institutions","Q"
"6753565","45","Vorsorgestiftung RSS, Gemeinschaftsstiftung für Mitarbeitende der Rudolf Steiner Schulen in der Schweiz","member","active","Pension funding","K"
"4045427","45","Ecopolitics GmbH","associate","active","Other professional, scientific and technical activities n.e.c.","M"
"5442536","46","Dynamics Group AG","director","active","Business and other management consultancy activities","M"
"5677046","46","Dynamics Group AG","director","active","Business and other management consultancy activities","M"
"7038640","47","Handelskammer Schweiz- Armenien","vice-president","active","Activities of business and employers membership organisations","S"
"7092781","295","Swisstasting Sàrl","associate","active","Retail sale via mail order houses or via Internet","G"
"122996","50","pro juventute","member","active","Charitable institutions","Q"
"5023144","50","Mobility Solutions AG","member","active","Service activities incidental to land transportation","H"
"7190156","50","Swiss eMobility","member","active","Cultural, education, scientific and research organisations","S"
"4504333","50","Kaufmann Ronny - Berater","holder","active","Business and other management consultancy activities","M"
"674393","53","Leder Partner","general partner","active","Public relations and communication activities","M"
"6943418","300","Energieplattform Immobilien (EPImmo)","member of the executive board","active","Web portals","J"
"268184","300","Hauseigentümerverband Schweiz","director","active","Other interest groups","S"
"297799","55","Swisstransplant - Schweizerische Stiftung für Organspende und Transplantation","member","active","Healthcare organisations","S"
"6459850","55","Marie-Louise Baumann MLB Communications","holder","active","Public relations and communication activities","M"
"6844873","56","Psychiatrische Dienste Graubünden","president","active","Institutions for psychosocial cases","Q"
"664171","56","Stiftung Casty-Buchmann, Chur/Masans","member","active","Cultural, education, scientific and research organisations","S"
"5091646","56","Swissgrid AG","member","active","Transmission of electricity","D"
"6368285","303","Yvette Estermann Stiftung","member","active","Cultural, education, scientific and research organisations","S"
"779169","303","ESTERMANN - CONSULTING","holder","active","Business and other management consultancy activities","M"
"142633","58","Hääss-Chammer-Gnosseschaft Appenzell","member","active","Other interest groups","S"
"5818826","58","Lokal Appenzell GmbH","associate","active","Restaurants, cafes, snack bars, tea rooms, ice-cream parlours","I"
"68038","305","Schweizerische Beratungsstelle für Unfallverhütung bfu","member of the executive board","active","Other interest groups","S"
"588312","66","Katz Kunststoff-Ausbildungs- und Technologie-Zentrum","member","active","Further vocational training, adult education","P"
"594905","66","Kunststoff Verband Schweiz (KVS)","managing director","active","Activities of business and employers membership organisations","S"
"5552419","66","Verband Kunststoff-Rohre und Rohrleitungsteile","authorized signatory","active","Activities of professional membership organisations","S"
"786243","314","GEO Consulting Group AG","single member of the board of directors","active","Business and other management consultancy activities","M"
"397971","69","Lignum Holzwirtschaft Schweiz","member","active","Activities of business and employers membership organisations","S"
"40738","69","Verband Holzindustrie Schweiz HIS","director","active","Activities of professional membership organisations","S"
"40749","315","Nuklearforum Schweiz","member","active","Other interest groups","S"
"5208161","315","Stiftung Klimarappen","member","active","Other interest groups","S"
"6943418","315","Energieplattform Immobilien (EPImmo)","member","active","Web portals","J"
"24114","71","Möbelfabrik Betschart AG","member","active","Manufacture of other furniture","C"
"229860","71","Personalvorsorgestiftung der Möbelfabrik Betschart AG","member","active","Pension funding","K"
"4444479","71","Peter Föhn-Heinzer Holding AG","member","active","Activities of other holding companies","K"
"24114","317","Möbelfabrik Betschart AG","member","active","Manufacture of other furniture","C"
"21043","72","Société d'expansion touristique de Zinal SA","president of the board of directors","active","Travel agency activities","N"
"725978","72","Les 4 Vallées SA","president of the board of directors","active","Activities of sport clubs","R"
"7027480","72","Remontées Mécaniques de Grimentz - Zinal SA","member","active","Passenger transport by cableways, funiculars and ski-tows","H"
"5629150","72","Inspection des finances du canton du Valais","diverse","active","General public administration activities","O"
"6503707","74","aspero ag","managing director","active","Activities of insurance agents and brokers","K"
"598190","75","Stiftung Knabenkantorei Basel","member","active","Cultural, education, scientific and research organisations","S"
"40711","75","Schweizerische Bankiervereinigung (SwissBanking)","authorized signatory","active","Activities of professional membership organisations","S"
"5455082","77","Fachstelle für Gesundheitspolitik polsan GmbH","president of management board","active","Business and other management consultancy activities","M"
"816423","326","RTR Radiotelevisiun Svizra Rumantscha, succursala da la Societad svizra da radio e televisiun","director general","active","Television programming and broadcasting activities","J"
"646899","326","Schweizerische Radio- und Fernsehgesellschaft","director general","active","Television programming and broadcasting activities","J"
"680731","326","Schweizerische Radio- und Fernsehgesellschaft, Zweigniederlassung swissinfo","director general","active","Television programming and broadcasting activities","J"
"709826","326","SRF Schweizer Radio und Fernsehen, Zweigniederlassung der Schweizerischen Radio- und Fernsehgesellschaft","director general","active","Television programming and broadcasting activities","J"
"713217","326","RTS Radio Télévision Suisse, succursale de la Société suisse de radiodiffusion et télévision","director general","active","Television programming and broadcasting activities","J"
"759168","326","RSI Radiotelevisione svizzera di lingua italiana, succursale della Società svizzera di radiotelevisione","director general","active","Television programming and broadcasting activities","J"
"5436471","329","Renate Hotz Communications AG","member","active","Public relations and communication activities","M"
"11261","329","Migros-Genossenschafts-Bund","authorized signatory","active","Non-specialized wholesale of food, beverages and tobacco","G"
"5436471","84","Renate Hotz Communications AG","president of the board of directors","active","Public relations and communication activities","M"
"597312","331","Stiftung Auto Recycling Schweiz","member","active","Other interest groups","S"
"5870217","331","Suva","member","active","Accident insurance (SUVA)","K"
"692676","331","BOOM Büro für Organisation, Oeffentlichkeitsarbeit & Medienberatung Michael Gehrken","holder","active","Business and other management consultancy activities","M"
"4680048","331","ASTAG Schweizerischer Nutzfahrzeugverband","director","active","Activities of professional membership organisations","S"
"5718926","332","Gesellschaft Schweiz - Albanien","president","active","Other interest groups","S"
"6329079","87","Verein Energieallianz","member","active","Other interest groups","S"
"292138","90","Stiftung des Schweizerischen Bierbrauervereins für Wissenschaftliche Forschung","member","active","Cultural, education, scientific and research organisations","S"
"4909939","94","Köhler, Stüdeli & Partner GmbH","president of management board","active","Public relations and communication activities","M"
"673377","94","Schweizerischer Verband für komplementärmedizinische Heilmittel","managing director","active","Activities of professional membership organisations","S"
"5269690","341","kmuNEXT Schweizerische Vereinigung für Unternehmensnachfolge in Liquidation","member","inbreakup","Activities of business and employers membership organisations","S"
"7015293","341","Giovanni Giunta Bureau de conseils","holder","active","Business and other management consultancy activities","M"
"15092","97","Schweizerische Technische Fachschule Winterthur (STF)","president","active","Technical and vocational upper secondary education","P"
"221374","97","Paritätische Krankenversicherung für Branchen der Gebäudetechnik","member","active","Accident and indemnity insurance","K"
"286830","97","Sozialfonds VSEI","member","active","Other social activities without accommodation","Q"
"5131511","97","Paritätische Landeskommission der Schweizerischen Elektro- und Telekommunikations-Installationsbranche (PLK)","member","active","Activities of professional membership organisations","S"
"4022257","344","medi 24 Service AG","single member of the board of directors","inbreakup","Other paramedical activities","Q"
"4539901","344","Amavita Health Care AG","authorized signatory","active","Wholesale of pharmaceutical goods","G"
"5697285","344","G-Pharma AG","authorized signatory","active","Wholesale of pharmaceutical goods","G"
"730959","100","Grünau AG","vice-president","active","Management of real estate on a fee or contract basis","L"
"5532595","100","SpoHaWe AG","member","active","Buying and selling of own real estate","L"
"5536332","100","Livesystems AG","member","active","Computer programming activities","J"
"4710674","100","kw la soupe GmbH","associate","active","Restaurants, cafes, snack bars, tea rooms, ice-cream parlours","I"
"714250","101","Sanitas Krankenversicherung","president","active","Health insurance","K"
"5674085","347","The Swiss Leading Hospitals","member","active","Other interest groups","S"
"5654541","105","Stiftung für Innovation, Entwicklung und Forschung Graubünden","member","active","Research and experimental development on social sciences and humanities","M"
"5398325","105","Stiftung Privatschulregister Schweiz","president","active","Cultural, education, scientific and research organisations","S"
"6755948","105","IGKG Interessengemeinschaft Kaufmännische Grundbildung Schweiz","vice-president","active","Cultural, education, scientific and research organisations","S"
"117058","105","swissskills","member","active","Cultural, education, scientific and research organisations","S"
"231161","105","Personalvorsorgestiftung der Geschäftsstelle des Schweizerischen Gewerbeverbandes","member","active","Pension funding","K"
"232861","105","Pestalozzi-Stiftung für die Förderung der Ausbildung Jugendlicher aus schweizerischen Berggegenden","member","active","Cultural, education, scientific and research organisations","S"
"395107","106","Internationale Solarmobil Föderation ISF","vice-president","active","Activities of sport clubs","R"
"117045","106","Schweizerische Greina-Stiftung (SGS) zur Erhaltung der alpinen Fliessgewässer","member","active","Other interest groups","S"
"6840148","106","Solar Agentur Schweiz","managing director","active","Other interest groups","S"
"20957","107","Proviande Genossenschaft","member","active","Activities of business and employers membership organisations","S"
"403502","107","Schweizerischer Bauernverband (SBV)","authorized signatory","active","Activities of business and employers membership organisations","S"
"403502","108","Schweizerischer Bauernverband (SBV)","authorized officer","active","Activities of business and employers membership organisations","S"
"5068611","111","CURAVIVA - Verband Heime und Institutionen Schweiz","vice-president","active","Charitable institutions","Q"
"595976","111","ARGOS SA","member","active","Activities of insurance agents and brokers","K"
"7002607","111","BESA Care AG","member","active","Healthcare organisations","S"
"115912","111","Fondation du foyer d'accueil Le Christ-Roi","director","active","Residential nursing care activities","Q"
"163174","112","Interpharma","member of the executive board","active","Other research and experimental development on natural sciences and engineering","M"
"268108","114","Schweizerischer Bäcker-Confiseurmeister-Verband","vice-director","active","Activities of professional membership organisations","S"
"114788","361","Fondation des immeubles pour les organisations internationales (FIPOI)","member","active","Letting of own or leased buildings and dwellings","L"
"6299054","361","Services industriels de Genève","member","active","Distribution of electricity","D"
"645781","116","Stiftung Alpenruhe Saanen","member","active","Other residential homes","Q"
"7203683","116","Schweizerische Flüchtlingshilfe / SFH","member","active","Charitable institutions","Q"
"5208161","120","Stiftung Klimarappen","member","active","Other interest groups","S"
"104098","120","Erdöl - Vereinigung (EV)","president","active","Activities of professional membership organisations","S"
"7052862","120","Stiftung Klimaschutz und CO2-Kompensation KliK","president","active","Other interest groups","S"
"216315","120","Hutter Dynamics AG","member","active","Maintenance and repair of motor vehicles","G"
"221414","120","Hutter Dynamics AG Schaffhausen","member","active","Maintenance and repair of motor vehicles","G"
"4453219","120","Energie-Agentur der Wirtschaft (EnAW)","member","active","Activities of business and employers membership organisations","S"
"651985","124","Theres und Gerhard Kraus-Vogt Stiftung","member","active","Cultural, education, scientific and research organisations","S"
"5797620","370","swisscleantech Association","member","active","Research and experimental development on social sciences and humanities","M"
"685220","370","ecos AG","president of the board of directors","active","Publishing of journals and periodicals","J"
"685310","370","Stiftung Oekomedia","president","active","Library and archives activities","R"
"6569447","370","Stiftung Global Infrastructure Basel","president","active","Cultural, education, scientific and research organisations","S"
"4395103","370","Stiftung BASE (Basel Agency for Sustainable Energy)","member","active","Cultural, education, scientific and research organisations","S"
"5411125","370","The Gold Standard Foundation","member","active","Other interest groups","S"
"5241435","372","Association Spitex privée Suisse (ASPS)","secretary outside of the board of managers","active","Healthcare organisations","S"
"597317","372","KOMET Werbeagentur AG","president of the board of directors","active","Advertising agencies","M"
"7237206","372","VerMaG AG","member","active","Buying and selling of own real estate","L"
"5690754","372","KOMET marketing & communication Sàrl","president of management board","active","Business and other management consultancy activities","M"
"4525006","372","BIRDIE Company GmbH","associate","active","Business and other management consultancy activities","M"
"4046366","372","Durst, Marketing und Kommunikation","holder","active","Business and other management consultancy activities","M"
"324882","129","AXA Assurances SA","authorized signatory","active","Accident and indemnity insurance","K"
"18526","129","AXA Versicherungen AG","authorized signatory","active","Accident and indemnity insurance","K"
"324858","129","AXA Versicherungen AG, Zweigniederlassung St. Gallen","authorized signatory","active","Accident and indemnity insurance","K"
"324875","129","AXA Versicherungen AG","authorized signatory","active","Accident and indemnity insurance","K"
"324878","129","AXA Versicherungen AG","authorized signatory","active","Accident and indemnity insurance","K"
"324880","129","AXA Assicurazioni SA, succursale di Lugano","authorized signatory","active","Accident and indemnity insurance","K"
"800604","132","POWERcondens AG","member","active","Wholesale of other machinery and equipment","G"
"6567746","380","Swisspower AG","member of the executive board","active","Activities of other holding companies","K"
"671386","136","Sigg Innenausbau GmbH","associate","active","Interior joinery","C"
"4608992","137","Paul Aenishänslin Public Affairs & Communications (PAE-PAC)","holder","active","Advertising agencies","M"
"296184","138","STV-Verlags AG der Ingenieure & Architekten","president of the board of directors","active","Publishing of journals and periodicals","J"
"232658","138","Personalvorsorgestiftung von scienceindustries","member","active","Pension funding","K"
"268069","138","scienceindustries","member of the executive board","active","Activities of business and employers membership organisations","S"
"4645644","139","Verein ARC -  Bildungsinstitut für Arbeitnehmende","member","active","Activities of trade unions","S"
"771741","385","GTER-GROUPEMENT POUR DES TRANSPORTS EXPRESS REGIONAUX","member","active","Cultural, education, scientific and research organisations","S"
"4474379","140","Hirzel.Neef.Schmid.Konsulenten AG","director","active","Public relations and communication activities","M"
"6576142","140","Hirzel.Neef.Schmid.Konsulenten AG","director","active","Public relations and communication activities","M"
"7011674","140","FIPRA Schweiz GmbH","managing director","active","Public relations and communication activities","M"
"806711","386","SCN SwissCableNet AG","single member of the board of directors","active","Wired telecommunications activities","J"
"269490","386","Robert Walser-Stiftung Bern","member","active","Cultural, education, scientific and research organisations","S"
"702393","386","SWISSCABLE VERBAND FÜR KOMMUNIKATIONSNETZE","managing director","active","Activities of business and employers membership organisations","S"
"32605","388","Hilfs- und Solidaritätsfonds syndicom","co-president","active","Other social activities without accommodation","Q"
"6512328","388","syndicom","co-president","active","Activities of trade unions","S"
"5870217","388","Suva","member","active","Accident insurance (SUVA)","K"
"2749","143","Beat Bucher AG","member","active","Wholesale of hardware, plumbing and heating equipment and supplies","G"
"4407853","143","FaH Consulting Hansjörg Fasnacht","holder","active","Public relations and communication activities","M"
"243207","389","Raiffeisenbank Amriswil-Dozwil-Sommeri Genossenschaft","member","active","Raiffeisen banks","K"
"6311314","144","Swiss Communication Agency Sagl","associate","active","Advertising agencies","M"
"42744","390","Auslandschweizer-Organisation","director","active","Cultural, education, scientific and research organisations","S"
"116726","390","Stiftung Auslandschweizerplatz Brunnen","member","active","Other interest groups","S"
"122994","390","Für die Auslandschweizer","member","active","Cultural, education, scientific and research organisations","S"
"646698","390","Stiftung für Schweizer Schulen im Ausland","member","active","Cultural, education, scientific and research organisations","S"
"4825624","390","Oeschger-Hintermann Stiftung der NHG","member","active","Charitable institutions","Q"
"7027407","390","educationsuisse","member","active","Cultural, education, scientific and research organisations","S"
"6327436","392","Stiftung für Radio und Kultur Schweiz","member","active","Cultural, education, scientific and research organisations","S"
"5870217","147","Suva","authorized signatory","active","Accident insurance (SUVA)","K"
"40711","148","Schweizerische Bankiervereinigung (SwissBanking)","authorized signatory","active","Activities of professional membership organisations","S"
"5606885","394","Wohnbaugenossenschaft Oberfeld, Ostermundigen","president","active","Letting of own or leased buildings and dwellings","L"
"5579664","394","E plus U Energie- und Umweltberatung GmbH","associate","active","Business and other management consultancy activities","M"
"709982","149","Fondation du Musée de la Tourbière","secretary","active","Museums activities","R"
